S.C._left	2.587086	0.978170	2.167734	2537
S.F.sup._left	2.665731	1.040184	2.160882	1876
F.I.P._left	2.762819	1.359905	2.034705	3807
S.Pa.t._left	2.755531	1.607523	2.377928	358
S.Pe.C.marginal._left	2.803645	1.285407	2.234193	731
S.T.s._left	2.157044	1.276873	2.072109	1214
OCCIPITAL_left	2.358916	1.912347	2.081461	981
S.Pe.C.inter._left	3.111745	2.125676	2.182633	501
F.Cal.ant.-Sc.Cal._left	2.029070	1.183281	1.998787	647
F.C.M.ant._left	2.161608	1.076535	2.275908	634
S.Li._left	6.326219	6.478369	2.295395	204
F.Coll._left	2.112202	1.349705	2.236865	1347
S.T.i.ant._left	4.709973	5.764403	2.206268	1020
F.C.L.a._left	5.159046	2.662809	2.121094	2342
S.Olf._left	5.806954	5.958898	2.116730	396
F.C.M.post._left	2.239252	0.898691	2.254879	1967
S.Pa.sup._left	2.985111	0.999917	2.082204	629
S.Pe.C.median._left	2.770514	1.196958	1.794051	367
S.T.s.ter.asc.ant._left	2.457926	2.397384	1.935571	388
S.T.s.ter.asc.post._left	2.005288	0.701187	2.131217	305
F.P.O._left	2.223048	1.213012	2.037074	1423
F.I.P.Po.C.inf._left	4.730103	5.293836	1.978253	176
S.T.i.post._left	2.224384	2.118515	2.225013	262
S.F.inter._left	2.427294	1.233968	1.719790	345
F.C.L.r.retroC.tr._left	2.315171	1.524401	2.094888	526
F.C.L.p._left	2.806859	1.826850	2.116498	2721
S.Call._left	15.614952	5.383626	2.274550	136
S.F.inf._left	2.586570	1.855892	2.081599	1121
S.Pe.C.inf._left	2.763958	1.426071	2.070690	486
S.O.T.lat.post._left	1.959173	0.893113	2.092367	1055
INSULA_left	2.893599	1.897796	2.208144	1510
F.C.L.r.asc._left	3.203437	2.032799	1.861836	390
S.F.marginal._left	2.064360	0.970456	2.168931	423
F.C.L.r.ant._left	2.419420	1.488294	2.060365	421
S.R.inf._left	5.792712	6.847843	2.004689	336
Summary	2.937321	2.497767	2.107294	33582
